Date,Close,High,Low,Open,Volume
2025-05-10,103164.55,104050.95,102709.75,103165.95,22280
2025-05-11,104237.65,104957.35,103131.35,103167.35,42514
2025-05-12,102649.95,105799.45,100701.75,104239.65,68019
2025-05-13,104534.15,104956.25,101406.25,102653.05,51112
2025-05-14,103524.55,104598.05,102570.45,104530.65,42050
2025-05-15,103414.65,104169.95,101368.05,103524.55,50238
2025-05-16,103661.65,104533.75,102681.75,103413.75,43860
2025-05-17,103341.55,103769.95,102568.65,103661.55,27558
2025-05-18,104025.45,105940.25,102870.05,103343.95,34706
2025-05-19,105448.45,107088.45,102039.95,104034.15,69824
2025-05-20,106890.05,107280.95,104146.95,105451.35,47630
2025-05-21,108205.95,109819.95,105912.05,106884.75,77505
2025-05-22,111041.25,111959.75,107900.05,108208.05,72086
2025-05-23,108215.15,111767.65,107300.05,111041.05,62122
2025-05-24,108830.75,109457.95,106766.65,108210.05,35669
2025-05-25,107654.65,108840.65,106563.35,108832.85,34786
2025-05-26,109580.05,110423.0,107139.95,107654.65,39721
2025-05-27,109514.25,110710.05,107479.05,109577.55,44847
2025-05-28,107294.95,109658.75,106746.55,109514.25,37275
2025-05-29,106163.65,108869.95,105611.85,107297.8,43079
2025-05-30,104557.25,106451.15,103674.25,106163.65,52396
2025-05-31,104764.85,104869.75,103053.55,104563.85,34718
2025-06-01,104929.95,105280.65,103723.25,104764.85,21980
2025-06-02,104849.95,105910.55,103647.45,104929.95,38327
2025-06-03,105705.95,106758.45,104532.65,104852.75,33278
2025-06-04,104591.15,105955.85,104151.35,105705.95,29613
2025-06-05,100465.15,105890.05,100373.75,104585.95,46177
2025-06-06,104447.85,105306.25,100398.65,100462.55,41596
2025-06-07,105818.95,105867.25,103844.75,104447.85,16964
2025-06-08,106117.45,106328.95,104944.15,105818.95,13918
2025-06-09,108664.75,108734.05,105287.75,106122.65,32837
2025-06-10,109925.95,110606.15,108304.05,108664.75,42521
2025-06-11,108871.25,110369.75,108384.65,109930.4,37920
2025-06-12,105924.75,109176.45,105525.25,108872.15,44118
2025-06-13,105398.45,106389.55,102654.75,105920.7,81604
2025-06-14,104877.55,106186.05,104280.05,105398.95,24840
2025-06-15,104709.65,106099.95,104573.85,104877.55,18327
2025-06-16,108763.95,108858.75,104462.75,104705.45,38602
2025-06-17,104328.05,108944.65,103332.05,108762.3,58372
2025-06-18,104787.45,105516.65,103455.55,104327.05,49889
2025-06-19,104245.85,105200.35,103887.55,104787.45,23686
2025-06-20,103679.05,106504.95,102320.35,104245.85,40076
2025-06-21,102739.95,103959.85,102163.05,103679.9,19144
2025-06-22,99510.55,103347.75,98155.95,102739.95,77642
2025-06-23,103711.45,103888.75,98975.85,99512.7,65434
2025-06-24,106045.25,106256.25,103594.75,103716.55,50927
2025-06-25,107744.25,108095.35,105694.35,106044.15,36568
2025-06-26,107743.15,108243.65,106527.05,107737.45,32400
2025-06-27,107099.25,107767.75,106344.85,107743.15,29318
2025-06-28,107137.05,107519.95,106776.15,107103.0,7480
2025-06-29,107320.15,108485.15,107128.05,107137.05,9587
2025-06-30,107546.75,108758.25,106705.35,107317.35,23876
2025-07-01,105882.05,107565.25,105218.35,107546.75,27986
2025-07-02,109111.95,109716.05,105070.05,105882.05,30044
2025-07-03,109921.65,110490.75,108499.15,109112.45,31926
2025-07-04,107670.35,109982.25,107228.05,109923.75,22686
2025-07-05,108061.75,108398.85,107667.05,107670.35,8856
2025-07-06,108638.65,109093.95,107786.35,108061.75,10410
2025-07-07,107834.15,109674.25,107470.15,108644.05,28278
2025-07-08,108603.65,109190.25,107404.35,107834.15,22552
2025-07-09,110693.25,111994.95,108294.65,108601.75,24750
2025-07-10,113449.85,113768.15,110469.95,110699.95,29914
2025-07-11,117628.35,118831.95,113352.95,113447.15,55558
2025-07-12,116990.25,118169.95,116883.65,117626.15,18236
