Date,Close,High,Low,Open,Volume
2025-05-05,3333.73,3337.49,3237.35,3239.08,199146
2025-05-06,3430.36,3434.91,3322.68,3335.63,246785
2025-05-07,3364.33,3437.76,3360.1,3437.46,247405
2025-05-08,3305.72,3414.64,3288.68,3365.66,240336
2025-05-09,3326.49,3347.4,3274.6,3306.59,197806
2025-05-12,3234.8,3295.89,3207.64,3295.89,251722
2025-05-13,3250.14,3265.44,3215.68,3237.64,186543
2025-05-14,3177.33,3256.95,3167.76,3248.97,219562
2025-05-15,3239.76,3240.54,3120.68,3176.51,229763
2025-05-16,3202.02,3251.95,3154.08,3240.19,246476
2025-05-19,3230.07,3249.71,3205.44,3218.63,225942
2025-05-20,3289.74,3295.59,3204.45,3230.7,233256
2025-05-21,3315.24,3324.79,3285.25,3290.81,243406
2025-05-22,3294.62,3345.34,3279.04,3318.14,274231
2025-05-23,3356.12,3365.84,3286.99,3293.85,251805
2025-05-26,3341.43,3356.72,3323.58,3353.13,139511
2025-05-27,3300.47,3349.88,3284.86,3343.06,226905
2025-05-28,3288.24,3325.42,3276.15,3300.41,192979
2025-05-29,3317.61,3331.05,3245.32,3286.96,246166
2025-05-30,3289.49,3322.6,3271.39,3318.51,221828
2025-06-02,3381.49,3382.82,3295.37,3299.11,217956
2025-06-03,3353.33,3392.02,3332.99,3382.71,209816
2025-06-04,3372.18,3384.59,3343.67,3354.16,204731
2025-06-05,3352.65,3403.23,3339.23,3374.66,252183
2025-06-06,3311.56,3375.5,3306.93,3353.17,242279
2025-06-09,3325.52,3338.07,3293.39,3311.26,192281
2025-06-10,3322.42,3349.06,3301.76,3325.39,205134
2025-06-11,3354.87,3360.55,3315.38,3322.37,221487
2025-06-12,3386.74,3398.76,3338.55,3356.87,243017
2025-06-13,3433.37,3446.7,3379.33,3386.07,289750
2025-06-16,3385.25,3451.4,3382.49,3443.56,230020
2025-06-17,3388.38,3403.11,3366.11,3386.79,220494
2025-06-18,3369.2,3399.89,3362.4,3390.35,221563
2025-06-19,3370.37,3387.82,3347.39,3369.91,171901
2025-06-20,3368.4,3374.39,3340.24,3369.85,188420
2025-06-23,3368.98,3396.58,3346.83,3389.44,234900
2025-06-24,3322.93,3369.38,3295.23,3366.61,246568
2025-06-25,3332.12,3336.94,3311.84,3323.74,175041
2025-06-26,3327.66,3350.21,3309.87,3334.18,189022
2025-06-27,3274.5,3327.87,3255.84,3327.32,230640
2025-06-30,3302.88,3309.37,3246.66,3273.52,183437
2025-07-01,3338.87,3357.82,3302.1,3303.01,201599
2025-07-02,3356.93,3360.03,3327.4,3337.96,177121
2025-07-03,3325.85,3365.77,3311.47,3357.6,177325
2025-07-04,3336.77,3344.92,3323.41,3325.5,106086
2025-07-07,3336.18,3342.39,3296.27,3334.37,211957
2025-07-08,3301.54,3345.65,3286.98,3338.79,195787
2025-07-09,3313.49,3316.72,3282.56,3301.56,182693
2025-07-10,3323.86,3330.18,3309.92,3313.43,152392
2025-07-11,3354.89,3368.52,3321.67,3324.14,200969
2025-07-14,3343.3,3374.9,3340.89,3363.88,184819
2025-07-15,3324.76,3366.2,3320.11,3343.96,176709
2025-07-16,3347.37,3377.15,3319.56,3324.03,190647
2025-07-17,3339.03,3352.08,3309.73,3347.88,166395
2025-07-18,3350.34,3361.12,3331.72,3341.77,155700
2025-07-21,3396.92,3401.43,3344.85,3349.69,178549
2025-07-22,3431.58,3433.36,3383.18,3396.7,185929
2025-07-23,3387.05,3438.9,3381.36,3431.75,210926
2025-07-24,3368.43,3393.23,3351.24,3387.85,190537
2025-07-25,3336.63,3373.34,3324.95,3367.78,169674
2025-07-28,3314.43,3345.23,3301.62,3319.2,181342
2025-07-29,3326.44,3333.95,3307.94,3315.18,188305
2025-07-30,3274.88,3333.88,3267.91,3326.54,211053
2025-07-31,3289.94,3314.7,3273.27,3277.17,202196
2025-08-01,3362.68,3363.33,3281.51,3290.26,233559
2025-08-04,3373.52,3385.22,3344.93,3366.46,193850
2025-08-05,3380.67,3390.29,3349.66,3374.05,175427
2025-08-06,3369.18,3385.18,3358.03,3381.16,157929
2025-08-07,3395.24,3401.77,3365.08,3368.47,248832
2025-08-08,3398.33,3408.48,3376.59,3403.3,383183
2025-08-11,3342.6,3404.72,3341.14,3397.6,245989
2025-08-12,3347.97,3358.96,3330.98,3342.83,208008
2025-08-13,3355.91,3370.65,3342.49,3348.29,165553
2025-08-14,3335.3,3374.68,3329.7,3356.76,199304
2025-08-15,3335.19,3348.66,3332.08,3336.44,139488
2025-08-18,3332.7,3358.26,3323.38,3336.17,141156
2025-08-19,3315.5,3345.23,3314.82,3332.17,137576
2025-08-20,3348.28,3350.13,3311.35,3315.91,132969
2025-08-21,3338.46,3351.95,3325.03,3349.87,136766
2025-08-22,3372.2,3378.65,3321.33,3338.77,150490
2025-08-25,3365.56,3376.18,3359.66,3370.63,100650
2025-08-26,3393.48,3393.5,3351.19,3365.53,164378
2025-08-27,3397.32,3398.67,3373.59,3393.41,143050
2025-08-28,3416.8,3422.95,3384.47,3398.82,160908
2025-08-29,3448.42,3453.83,3404.22,3417.12,168907
2025-09-01,3476.77,3489.68,3436.7,3448.01,159701
2025-09-02,3533.41,3539.9,3470.09,3476.25,332438
2025-09-03,3558.95,3578.29,3525.8,3532.73,254558
2025-09-04,3545.7,3564.09,3510.52,3561.34,236302
2025-09-05,3586.51,3599.95,3539.94,3546.12,248291
2025-09-08,3635.7,3646.26,3577.45,3580.46,238756
2025-09-09,3626.19,3674.51,3626.0,3635.98,237668
2025-09-10,3640.43,3657.41,3620.11,3621.59,210556
2025-09-11,3633.77,3649.03,3612.64,3642.07,223102
2025-09-12,3643.44,3656.51,3630.31,3633.8,188119
2025-09-15,3678.68,3685.4,3626.52,3644.27,196787
2025-09-16,3689.59,3702.86,3674.61,3679.99,208652
2025-09-17,3659.82,3707.32,3645.98,3689.52,244627
2025-09-18,3644.23,3672.82,3627.79,3659.5,243673
