time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/approx_kl,train/entropy_loss,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1,1062,1,2048,,,,,,,,,,,,
4,1020,2,4096,0.0005923331,-1.098454236984253,-0.008183956,10,1.3050480604171752,-0.0018689915305003524,0.6440339088439941,0.0,0.2,0.0003,,
5,1025,3,6144,0.00067183754,-1.0970792651176453,-0.053800225,20,1.1903314113616943,-0.001876746816560626,0.5656877756118774,0.0,0.2,0.0003,,
7,1040,4,8192,0.0012916734,-1.093312180042267,0.0029773712,30,1.186322844028473,-0.0024693102575838568,0.5860769748687744,0.0,0.2,0.0003,,
9,1037,5,10240,0.0018663326,-1.0846778631210328,0.011147141,40,1.3827284574508667,-0.001702374708838761,0.6840858459472656,0.0,0.2,0.0003,,
11,1033,6,12288,0.003528293,-1.0689839243888855,0.008374453,50,1.2579570889472962,-0.0032139331800863148,0.6189747452735901,0.000341796875,0.2,0.0003,,
,,,12500,0.0060706316,-1.0365635752677917,-0.009998679,60,1.433825945854187,-0.0045742463669739665,0.7004228234291077,0.004296875,0.2,0.0003,2.2282456159591675,43.0
13,1031,7,14336,,,,,,,,,,,,
15,1034,8,16384,0.005776683,-0.9878490805625916,0.0109913945,70,1.1008882880210877,-0.0027025282150134446,0.5421888828277588,0.0083984375,0.2,0.0003,,
17,1041,9,18432,0.0019722546,-0.9451741755008698,0.07982248,80,1.4786450862884521,-0.0020221987972036002,0.6994519233703613,0.0,0.2,0.0003,,
19,1047,10,20480,0.0019442394,-0.9092661499977112,0.050686,90,1.0665241718292235,-0.0015512980520725251,0.5189196467399597,0.0,0.2,0.0003,,
21,1052,11,22528,0.0019827099,-0.8674799501895905,-0.0154339075,100,1.549180030822754,-0.0018203718937002122,0.7452666163444519,0.0005859375,0.2,0.0003,,
23,1056,12,24576,0.0013295955,-0.83605797290802,0.011960745,110,1.726105797290802,-0.0016964399255812168,0.8331630825996399,0.0,0.2,0.0003,,
